time,open,close,high,low,volume
2019-05-31 22:00:00,8512.9,8512.3,8512.9,8509.1,4.13708894
2019-05-31 22:01:00,8509.2,8506.2,8512.9,8506.2,6.81264517
2019-05-31 22:02:00,8506.3,8505.0,8506.4,8505.0,11.44739852
2019-05-31 22:03:00,8505.0,8488.1,8505.0,8488.0,3.96709087
2019-05-31 22:04:00,8488.1,8487.3,8488.1,8487.0,1.3505883
2019-05-31 22:05:00,8487.3,8485.0,8487.3,8485.0,2.74504598
2019-05-31 22:06:00,8485.0,8467.1,8485.1,8466.8,27.740883580000002
2019-05-31 22:07:00,8468.6,8479.3,8479.6,8468.6,7.27726496
2019-05-31 22:08:00,8479.3,8471.7,8479.3,8471.7,0.26331116
2019-05-31 22:09:00,8473.1,8469.2,8473.1,8469.2,0.66967676
2019-05-31 22:10:00,8469.2,8471.0,8471.0,8469.2,1.07352281
2019-05-31 22:11:00,8470.9,8471.0,8471.0,8470.9,0.74194095
2019-05-31 22:12:00,8471.0,8476.9,8479.3,8470.99267451,0.54760531
2019-05-31 22:13:00,8476.6,8479.3,8479.4,8476.6,0.8807267999999999
2019-05-31 22:14:00,8479.3,8479.1,8479.4,8469.2,11.34227108
2019-05-31 22:15:00,8479.80918429,8479.9,8480.0,8479.7,0.43778889
2019-05-31 22:16:00,8480.0,8489.0,8489.0,8480.0,5.52198912
2019-05-31 22:17:00,8489.0,8492.0,8492.0,8489.0,3.3849480400000003
2019-05-31 22:18:00,8492.9,8492.7,8497.3,8492.7,1.5086786699999999
2019-05-31 22:19:00,8492.8,8492.7,8492.8,8492.7,3.4481442
2019-05-31 22:20:00,8492.7,8497.2,8497.7,8492.7,2.72244043
2019-05-31 22:21:00,8495.3,8493.2,8497.4,8493.2,0.43444124
2019-05-31 22:22:00,8494.0,8493.3,8494.9,8493.2,0.09624865
2019-05-31 22:23:00,8497.7,8493.2,8497.7,8493.2,0.44622289
2019-05-31 22:24:00,8493.2,8489.0,8493.2,8489.0,5.02681109
2019-05-31 22:25:00,8489.0,8489.0,8489.0,8489.0,0.56846352
2019-05-31 22:26:00,8489.0,8489.0,8489.1,8489.0,3.7933648
2019-05-31 22:27:00,8489.1,8488.0,8489.1,8488.0,0.59310495
2019-05-31 22:28:00,8488.0,8480.7,8488.0,8480.1,4.57629767
2019-05-31 22:29:00,8480.7,8476.7,8480.7,8474.3,2.40245408
2019-05-31 22:30:00,8476.7,8476.7468868,8476.8,8476.7,0.1363886
2019-05-31 22:31:00,8476.7,8479.96564819,8479.96564819,8476.7,0.08499999999999999
2019-05-31 22:32:00,8479.9,8476.1,8479.96564819,8476.0,5.56560218
2019-05-31 22:33:00,8476.0,8476.1,8476.1,8476.0,0.055
2019-05-31 22:34:00,8476.1,8476.8,8476.9,8476.0,3.33453458
